City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,chadron,42.8294,-102.9999,22.14,44,0,4.63,US,1694654039
229,gulu,2.7746,32.299,18.65,94,100,0.99,UG,1694654039
230,stanley,54.868,-1.6985,12.51,86,75,4.63,GB,1694653922
231,zadonsk,52.3904,38.9261,12.4,63,83,2.26,RU,1694654039
232,kota,25.1833,75.8333,25.61,83,93,2.82,IN,1694653903
233,klyuchi,52.2667,79.1667,11.85,93,100,2.65,RU,1694654040
234,pitimbu,-7.4706,-34.8086,23.33,85,27,5.7,BR,1694654040
235,rybnoye,54.7256,39.5119,11.33,86,25,1.68,RU,1694654040
236,joshimath,30.5667,79.5667,22.18,82,89,0.05,IN,1694654040
237,plymouth,41.8334,-70.8328,22.71,85,75,0.0,US,1694654040
238,tadine,-21.55,167.8833,22.16,69,99,9.83,NC,1694654041
239,iquique,-20.2208,-70.1431,18.02,79,24,1.76,CL,1694654041
240,comodoro rivadavia,-45.8667,-67.5,12.92,33,0,10.8,AR,1694653449
241,salekhard,66.53,66.6019,9.61,78,5,5.04,RU,1694654041
242,pariaman,-0.619,100.12,25.03,82,53,2.24,ID,1694654042
243,nova sintra,14.8667,-24.7167,24.75,80,88,2.97,CV,1694654042
244,susuman,62.7833,148.1667,3.72,81,100,2.55,RU,1694654042
245,akureyri,65.6835,-18.0878,5.02,83,39,0.99,IS,1694654043
246,akbarpur,26.4167,82.55,27.34,85,23,2.87,IN,1694654043
247,quesnel,52.9999,-122.5029,19.28,34,0,2.06,CA,1694654043
248,sarandi del yi,-33.35,-55.6333,6.8,71,100,3.14,UY,1694654043
249,bodaybo,57.8506,114.1933,7.88,74,29,3.85,RU,1694654044
250,whitehorse,60.7161,-135.0538,14.34,43,75,8.23,CA,1694654044
251,nolinsk,57.5596,49.9363,12.62,72,91,1.41,RU,1694654044
252,brandon,27.9378,-82.2859,30.03,72,0,2.57,US,1694653957
253,barra de santo antonio,-9.4047,-35.5072,22.6,86,28,5.29,BR,1694654044
254,gueckedou,8.6667,-10.25,21.45,99,100,1.31,GN,1694654045
255,tazovsky,67.4667,78.7,8.48,83,20,4.81,RU,1694654045
256,yoloten,37.2989,62.3597,17.76,31,0,3.66,TM,1694654045
257,beloyarskiy,63.7119,66.6722,7.78,90,93,2.24,RU,1694654045
258,greymouth,-42.4667,171.2,11.47,88,100,9.2,NZ,1694654046
259,medicine hat,50.0501,-110.6683,22.24,41,40,5.14,CA,1694654046
260,hastings,50.8552,0.5729,15.85,47,52,1.73,GB,1694654046
261,khuzdar,27.7384,66.6434,24.11,65,47,1.26,PK,1694654046
262,punta arenas,-53.15,-70.9167,3.06,81,75,3.6,CL,1694654046
263,newman,37.3138,-121.0208,32.38,38,0,1.79,US,1694654047
264,flying fish cove,-10.4217,105.6791,25.82,73,75,7.2,CX,1694654047
265,leava,-14.3,-178.1667,27.94,72,58,6.47,WF,1694654047
266,sydney,-33.8679,151.2073,24.77,47,0,3.09,AU,1694653376
267,hadibu,12.65,54.0333,26.77,81,99,8.11,YE,1694654048
268,sisimiut,66.9395,-53.6735,4.38,96,100,9.1,GL,1694654048
269,nuuk,64.1835,-51.7216,6.34,93,100,23.15,GL,1694654048
270,plettenberg bay,-34.0527,23.3716,13.51,75,86,5.57,ZA,1694654048
271,swan hill,-35.3378,143.5544,24.73,29,95,4.32,AU,1694654048
272,diapaga,12.0708,1.7889,23.47,88,59,1.97,BF,1694654049
273,tottori,35.5,134.2333,28.04,69,75,2.57,JP,1694654049
274,utrik,11.2278,169.8474,28.63,76,17,5.84,MH,1694654049
275,er regueb,34.8593,9.7865,23.25,69,18,1.89,TN,1694654049
276,saldanha,-33.0117,17.9442,13.12,80,100,4.52,ZA,1694654050
277,berwick-upon-tweed,55.7833,-2.0,13.13,79,100,6.38,GB,1694654050
278,mahajanga,-15.7167,46.3167,22.28,66,5,3.43,MG,1694654050
